time,open,high,low,close,volume
2026-01-13T09:30:00,10.9716,11.0089,10.9255,10.965,1542796
2026-01-13T09:31:00,10.9492,11.0739,10.8878,10.9803,2494512
2026-01-13T09:32:00,10.9758,11.1397,10.7948,10.9603,2854522
2026-01-13T09:33:00,10.9665,11.0395,10.9002,10.9825,2131915
2026-01-13T09:34:00,10.9914,11.0562,10.8788,10.9723,2388589
2026-01-13T09:35:00,10.9564,11.0514,10.9142,11.0007,1794594
2026-01-13T09:36:00,10.9961,11.0344,10.9636,11.0055,2746998
2026-01-13T09:37:00,11.0118,11.0548,10.9788,11.0189,2873709
2026-01-13T09:38:00,11.0168,11.1194,10.891,11.0303,2156320
2026-01-13T09:39:00,11.0347,11.1218,10.9556,10.9994,1838905
2026-01-13T09:40:00,10.9786,11.1251,10.8599,10.9929,2008002
2026-01-13T09:41:00,11.0044,11.0761,10.8902,10.9653,1903355
2026-01-13T09:42:00,10.9726,11.0768,10.9118,10.9872,1903070
2026-01-13T09:43:00,10.9696,11.06,10.8507,10.9572,2459636
2026-01-13T09:44:00,10.9771,11.0879,10.8942,10.9812,1894199
2026-01-13T09:45:00,10.9832,11.0167,10.9096,10.9551,1636750
2026-01-13T09:46:00,10.962,11.0317,10.8838,10.973,2417669
2026-01-13T09:47:00,10.9911,11.0385,10.8911,10.95,2746568
2026-01-13T09:48:00,10.9458,11.0335,10.7692,10.9529,2685037
2026-01-13T09:49:00,10.9418,11.0691,10.816,10.9295,2715915
2026-01-13T09:50:00,10.9485,11.0498,10.8258,10.9165,1884130
2026-01-13T09:51:00,10.8979,10.959,10.8016,10.8878,1617919
2026-01-13T09:52:00,10.9064,11.0646,10.7544,10.8616,1666687
2026-01-13T09:53:00,10.8442,10.9502,10.7319,10.8748,1644719
2026-01-13T09:54:00,10.8837,10.9192,10.8267,10.8802,1810767
2026-01-13T09:55:00,10.8979,10.9232,10.8335,10.8912,1559149
2026-01-13T09:56:00,10.8733,10.9543,10.7467,10.8645,2237823
2026-01-13T09:57:00,10.8487,10.9326,10.776,10.8635,2682170
