time,open,high,low,close,volume
2026-03-19T09:30:00,18.5243,18.714,18.3512,18.514,881729
2026-03-19T09:31:00,18.5286,18.5861,18.381,18.463,1211271
2026-03-19T09:32:00,18.4458,18.5629,18.3681,18.4928,1126616
2026-03-19T09:33:00,18.4703,18.6432,18.3665,18.5287,1114630
2026-03-19T09:34:00,18.5182,18.5679,18.4479,18.5057,1350470
2026-03-19T09:35:00,18.4996,18.6675,18.3173,18.5132,1079232
2026-03-19T09:36:00,18.5285,18.6057,18.2918,18.4647,951088
2026-03-19T09:37:00,18.4924,18.5673,18.3734,18.4786,1233254
2026-03-19T09:38:00,18.4953,18.5725,18.3809,18.4492,1000785
2026-03-19T09:39:00,18.4699,18.5044,18.3873,18.4466,1403230
2026-03-19T09:40:00,18.4575,18.5495,18.3307,18.4367,846135
2026-03-19T09:41:00,18.4191,18.5558,18.1528,18.4049,1169103
2026-03-19T09:42:00,18.4302,18.6186,18.2582,18.456,869149
2026-03-19T09:43:00,18.4288,18.7419,18.2415,18.4977,1446409
2026-03-19T09:44:00,18.5186,18.697,18.237,18.483,1466640
2026-03-19T09:45:00,18.5012,18.7674,18.3491,18.4909,1179232
2026-03-19T09:46:00,18.4966,18.7102,18.2996,18.4476,1147956
2026-03-19T09:47:00,18.4728,18.5529,18.275,18.4545,839820
2026-03-19T09:48:00,18.4492,18.5657,18.2209,18.4365,1068478
2026-03-19T09:49:00,18.4433,18.5768,18.1966,18.4084,1125843
2026-03-19T09:50:00,18.4318,18.5364,18.2929,18.4052,1122881
2026-03-19T09:51:00,18.4225,18.5155,18.3268,18.3964,1199468
2026-03-19T09:52:00,18.3656,18.4643,18.2446,18.343,1218368
2026-03-19T09:53:00,18.3432,18.4577,18.1902,18.3242,1170435
2026-03-19T09:54:00,18.3295,18.5394,18.1568,18.2917,1085411
2026-03-19T09:55:00,18.3171,18.5405,18.2188,18.3198,1176089
2026-03-19T09:56:00,18.3299,18.6031,18.1167,18.3581,1409334
2026-03-19T09:57:00,18.33,18.411,18.2382,18.3532,1215790
2026-03-19T09:58:00,18.3222,18.5932,18.1558,18.3933,1110507
2026-03-19T09:59:00,18.4182,18.4996,18.357,18.4223,1099545
2026-03-19T10:00:00,18.3602,18.6317,18.2063,18.411,681390
2026-03-19T10:01:00,18.4083,18.4898,18.3466,18.4068,643304
2026-03-19T10:02:00,18.3416,18.472,18.1791,18.281,531778
2026-03-19T10:03:00,18.2461,18.3389,18.2116,18.288,489494
2026-03-19T10:04:00,18.1761,18.289,18.1005,18.1658,542098
2026-03-19T10:05:00,18.0937,18.2247,17.9919,18.1266,662477
2026-03-19T10:06:00,18.0616,18.2667,17.8631,18.0217,349811
2026-03-19T10:07:00,17.8982,18.1036,17.7534,17.9062,329767
2026-03-19T10:08:00,17.7979,17.9891,17.6829,17.8264,692601
2026-03-19T10:09:00,17.7147,17.9207,17.51,17.7276,326036
2026-03-19T10:10:00,17.6401,17.8713,17.4001,17.635,471959
2026-03-19T10:11:00,17.542,17.7708,17.4413,17.5632,578779
2026-03-19T10:12:00,17.533,17.6923,17.2789,17.5507,457905
2026-03-19T10:13:00,17.4471,17.5241,17.2973,17.4032,511165
2026-03-19T10:14:00,17.3105,17.3698,17.1625,17.2672,700196
2026-03-19T10:15:00,17.2312,17.4082,17.0053,17.2018,316770
2026-03-19T10:16:00,17.1394,17.2003,17.0191,17.0932,547500
2026-03-19T10:17:00,16.9572,17.1722,16.7009,16.9617,608965
2026-03-19T10:18:00,16.8567,16.998,16.7154,16.8063,689690
2026-03-19T10:19:00,16.7783,16.89,16.5396,16.7409,683873
2026-03-19T10:20:00,16.755,16.8943,16.6608,16.7872,794819
2026-03-19T10:21:00,16.9643,17.0594,16.8462,16.9047,547011
2026-03-19T10:22:00,16.9683,17.0833,16.7269,16.9273,697760
2026-03-19T10:23:00,17.0743,17.3097,16.8072,17.0527,989420
2026-03-19T10:24:00,17.093,17.1688,16.9629,17.0381,1166752
2026-03-19T10:25:00,17.0464,17.1304,16.9398,17.0054,1172670
2026-03-19T10:26:00,17.14,17.4079,16.9462,17.1817,826887
2026-03-19T10:27:00,17.3204,17.4808,17.2482,17.3688,600244
